SimID, FromNodeID, ToNodeID, Bandwidth, Time
19,2,4,2.8428912E7,41771291
19,4,2,2.8428912E7,41771291
19,2,5,2.0274504E7,41771291
19,5,2,2.0274504E7,41771291
19,2,6,2.3832196E7,41771291
19,6,2,2.3832196E7,41771291
19,2,7,2.3322314E7,41771291
19,7,2,2.3322314E7,41771291
19,2,8,2.0801506E7,41771291
19,8,2,2.0801506E7,41771291
19,2,9,2.4328472E7,41771291
19,9,2,2.4328472E7,41771291
19,2,10,2.4249988E7,41771291
19,10,2,2.4249988E7,41771291
19,3,4,2.1445772E7,41771291
19,4,3,2.1445772E7,41771291
19,3,5,2.5238254E7,41771291
19,5,3,2.5238254E7,41771291
19,3,6,2.402676E7,41771291
19,6,3,2.402676E7,41771291
19,3,7,2.7863336E7,41771291
19,7,3,2.7863336E7,41771291
19,3,8,2.779083E7,41771291
19,8,3,2.779083E7,41771291
19,3,9,2.353328E7,41771291
19,9,3,2.353328E7,41771291
19,3,10,2.9503452E7,41771291
19,10,3,2.9503452E7,41771291
19,4,5,2.8675176E7,41771291
19,5,4,2.8675176E7,41771291
19,4,6,2.7683144E7,41771291
19,6,4,2.7683144E7,41771291
19,4,7,2.8177286E7,41771291
19,7,4,2.8177286E7,41771291
19,4,8,2.0235256E7,41771291
19,8,4,2.0235256E7,41771291
19,4,9,2.826396E7,41771291
19,9,4,2.826396E7,41771291
19,4,10,2.5142276E7,41771291
19,10,4,2.5142276E7,41771291
19,5,6,2.6216692E7,41771291
19,6,5,2.6216692E7,41771291
19,5,7,2.1485752E7,41771291
19,7,5,2.1485752E7,41771291
19,5,8,2.2271432E7,41771291
19,8,5,2.2271432E7,41771291
19,5,9,2.7703804E7,41771291
19,9,5,2.7703804E7,41771291
19,5,10,2.481375E7,41771291
19,10,5,2.481375E7,41771291
19,6,7,2.6208514E7,41771291
19,7,6,2.6208514E7,41771291
19,6,8,2.80802E7,41771291
19,8,6,2.80802E7,41771291
19,6,9,2.274766E7,41771291
19,9,6,2.274766E7,41771291
19,6,10,2.6470598E7,41771291
19,10,6,2.6470598E7,41771291
19,7,8,2.4952908E7,41771291
19,8,7,2.4952908E7,41771291
19,7,9,2.2356426E7,41771291
19,9,7,2.2356426E7,41771291
19,7,10,2.7028428E7,41771291
19,10,7,2.7028428E7,41771291
19,8,9,2.4400984E7,41771291
19,9,8,2.4400984E7,41771291
19,8,10,2.4169868E7,41771291
19,10,8,2.4169868E7,41771291
19,9,10,3.1897018E7,41771291
19,10,9,3.1897018E7,41771291
20,1,2,2.1404876E7,34285883
20,2,1,2.1404876E7,34285883
20,1,3,2.6585488E7,34285883
20,3,1,2.6585488E7,34285883
20,1,4,2.5565156E7,34285883
20,4,1,2.5565156E7,34285883
20,1,5,2.569365E7,34285883
20,5,1,2.569365E7,34285883
20,1,6,2.5460798E7,34285883
