SimID, FromNodeID, ToNodeID, Bandwidth, Time
6,1,2,2.1404876E7,0
6,2,1,2.1404876E7,0
6,1,3,2.6585488E7,0
6,3,1,2.6585488E7,0
6,1,4,2.5565156E7,0
6,4,1,2.5565156E7,0
6,1,5,2.569365E7,0
6,5,1,2.569365E7,0
6,1,6,2.5460798E7,0
6,6,1,2.5460798E7,0
6,1,7,2.4086966E7,0
6,7,1,2.4086966E7,0
6,1,8,2.8380076E7,0
6,8,1,2.8380076E7,0
6,1,9,2.589809E7,0
6,9,1,2.589809E7,0
6,1,10,2.4486802E7,0
6,10,1,2.4486802E7,0
6,2,3,2.7543738E7,0
6,3,2,2.7543738E7,0
6,2,4,2.8428912E7,0
6,4,2,2.8428912E7,0
6,2,5,2.0274504E7,0
6,5,2,2.0274504E7,0
6,2,6,2.3832196E7,0
6,6,2,2.3832196E7,0
6,2,7,2.3322314E7,0
6,7,2,2.3322314E7,0
6,2,8,2.0801506E7,0
6,8,2,2.0801506E7,0
6,2,9,2.4328472E7,0
6,9,2,2.4328472E7,0
6,2,10,2.4249988E7,0
6,10,2,2.4249988E7,0
6,3,4,2.1445772E7,0
6,4,3,2.1445772E7,0
6,3,5,2.5238254E7,0
6,5,3,2.5238254E7,0
6,3,6,2.402676E7,0
6,6,3,2.402676E7,0
6,3,7,2.7863336E7,0
6,7,3,2.7863336E7,0
6,3,8,2.779083E7,0
6,8,3,2.779083E7,0
6,3,9,2.353328E7,0
6,9,3,2.353328E7,0
6,3,10,2.9503452E7,0
6,10,3,2.9503452E7,0
6,4,5,2.8675176E7,0
6,5,4,2.8675176E7,0
6,4,6,2.7683144E7,0
6,6,4,2.7683144E7,0
6,4,7,2.8177286E7,0
6,7,4,2.8177286E7,0
6,4,8,2.0235256E7,0
6,8,4,2.0235256E7,0
6,4,9,2.826396E7,0
6,9,4,2.826396E7,0
6,4,10,2.5142276E7,0
6,10,4,2.5142276E7,0
6,5,6,2.6216692E7,0
6,6,5,2.6216692E7,0
6,5,7,2.1485752E7,0
6,7,5,2.1485752E7,0
6,5,8,2.2271432E7,0
6,8,5,2.2271432E7,0
6,5,9,2.7703804E7,0
6,9,5,2.7703804E7,0
6,5,10,2.481375E7,0
6,10,5,2.481375E7,0
6,6,7,2.6208514E7,0
6,7,6,2.6208514E7,0
6,6,8,2.80802E7,0
6,8,6,2.80802E7,0
6,6,9,2.274766E7,0
6,9,6,2.274766E7,0
6,6,10,2.6470598E7,0
6,10,6,2.6470598E7,0
6,7,8,2.4952908E7,0
6,8,7,2.4952908E7,0
6,7,9,2.2356426E7,0
6,9,7,2.2356426E7,0
6,7,10,2.7028428E7,0
6,10,7,2.7028428E7,0
6,8,9,2.4400984E7,0
6,9,8,2.4400984E7,0
6,8,10,2.4169868E7,0
6,10,8,2.4169868E7,0
6,9,10,3.1897018E7,0
6,10,9,3.1897018E7,0
7,1,2,2.1404876E7,44704839
7,2,1,2.1404876E7,44704839
7,1,3,2.6585488E7,44704839
7,3,1,2.6585488E7,44704839
7,1,4,2.5565156E7,44704839
