SimID, FromNodeID, ToNodeID, Bandwidth, Time
26,1,2,2.1404876E7,0
26,2,1,2.1404876E7,0
26,1,3,2.6585488E7,0
26,3,1,2.6585488E7,0
26,1,4,2.5565156E7,0
26,4,1,2.5565156E7,0
26,1,5,2.569365E7,0
26,5,1,2.569365E7,0
26,1,6,2.5460798E7,0
26,6,1,2.5460798E7,0
26,1,7,2.4086966E7,0
26,7,1,2.4086966E7,0
26,1,8,2.8380076E7,0
26,8,1,2.8380076E7,0
26,1,9,2.589809E7,0
26,9,1,2.589809E7,0
26,1,10,2.4486802E7,0
26,10,1,2.4486802E7,0
26,2,3,2.7543738E7,0
26,3,2,2.7543738E7,0
26,2,4,2.8428912E7,0
26,4,2,2.8428912E7,0
26,2,5,2.0274504E7,0
26,5,2,2.0274504E7,0
26,2,6,2.3832196E7,0
26,6,2,2.3832196E7,0
26,2,7,2.3322314E7,0
26,7,2,2.3322314E7,0
26,2,8,2.0801506E7,0
26,8,2,2.0801506E7,0
26,2,9,2.4328472E7,0
26,9,2,2.4328472E7,0
26,2,10,2.4249988E7,0
26,10,2,2.4249988E7,0
26,3,4,2.1445772E7,0
26,4,3,2.1445772E7,0
26,3,5,2.5238254E7,0
26,5,3,2.5238254E7,0
26,3,6,2.402676E7,0
26,6,3,2.402676E7,0
26,3,7,2.7863336E7,0
26,7,3,2.7863336E7,0
26,3,8,2.779083E7,0
26,8,3,2.779083E7,0
26,3,9,2.353328E7,0
26,9,3,2.353328E7,0
26,3,10,2.9503452E7,0
26,10,3,2.9503452E7,0
26,4,5,2.8675176E7,0
26,5,4,2.8675176E7,0
26,4,6,2.7683144E7,0
26,6,4,2.7683144E7,0
26,4,7,2.8177286E7,0
26,7,4,2.8177286E7,0
26,4,8,2.0235256E7,0
26,8,4,2.0235256E7,0
26,4,9,2.826396E7,0
26,9,4,2.826396E7,0
26,4,10,2.5142276E7,0
26,10,4,2.5142276E7,0
26,5,6,2.6216692E7,0
26,6,5,2.6216692E7,0
26,5,7,2.1485752E7,0
26,7,5,2.1485752E7,0
26,5,8,2.2271432E7,0
26,8,5,2.2271432E7,0
26,5,9,2.7703804E7,0
26,9,5,2.7703804E7,0
26,5,10,2.481375E7,0
26,10,5,2.481375E7,0
26,6,7,2.6208514E7,0
26,7,6,2.6208514E7,0
26,6,8,2.80802E7,0
26,8,6,2.80802E7,0
26,6,9,2.274766E7,0
26,9,6,2.274766E7,0
26,6,10,2.6470598E7,0
26,10,6,2.6470598E7,0
26,7,8,2.4952908E7,0
26,8,7,2.4952908E7,0
26,7,9,2.2356426E7,0
26,9,7,2.2356426E7,0
26,7,10,2.7028428E7,0
26,10,7,2.7028428E7,0
26,8,9,2.4400984E7,0
26,9,8,2.4400984E7,0
26,8,10,2.4169868E7,0
26,10,8,2.4169868E7,0
26,9,10,3.1897018E7,0
26,10,9,3.1897018E7,0
27,1,2,2.1404876E7,29823376
27,2,1,2.1404876E7,29823376
27,1,3,2.6585488E7,29823376
27,3,1,2.6585488E7,29823376
27,1,4,2.5565156E7,29823376
27,4,1,2.5565156E7,29823376
27,1,5,2.569365E7,29823376
27,5,1,2.569365E7,29823376
27,1,6,2.5460798E7,29823376
27,6,1,2.5460798E7,29823376
27,1,7,2.4086966E7,29823376
27,7,1,2.4086966E7,29823376
27,1,8,2.8380076E7,29823376
27,8,1,2.8380076E7,29823376
27,1,9,2.589809E7,29823376
27,9,1,2.589809E7,29823376
27,1,10,2.4486802E7,29823376
27,10,1,2.4486802E7,29823376
27,2,3,2.7543738E7,29823376
27,3,2,2.7543738E7,29823376
27,2,4,2.8428912E7,29823376
27,4,2,2.8428912E7,29823376
27,2,5,2.0274504E7,29823376
27,5,2,2.0274504E7,29823376
27,2,6,2.3832196E7,29823376
27,6,2,2.3832196E7,29823376
27,2,7,2.3322314E7,29823376
27,7,2,2.3322314E7,29823376
27,2,8,2.0801506E7,29823376
27,8,2,2.0801506E7,29823376
27,2,9,2.4328472E7,29823376
27,9,2,2.4328472E7,29823376
27,2,10,2.4249988E7,29823376
27,10,2,2.4249988E7,29823376
27,3,4,2.1445772E7,29823376
27,4,3,2.1445772E7,29823376
27,3,5,2.5238254E7,29823376
27,5,3,2.5238254E7,29823376
27,3,6,2.402676E7,29823376
27,6,3,2.402676E7,29823376
27,3,7,2.7863336E7,29823376
27,7,3,2.7863336E7,29823376
27,3,8,2.779083E7,29823376
27,8,3,2.779083E7,29823376
27,3,9,2.353328E7,29823376
27,9,3,2.353328E7,29823376
27,3,10,2.9503452E7,29823376
27,10,3,2.9503452E7,29823376
27,4,5,2.8675176E7,29823376
27,5,4,2.8675176E7,29823376
27,4,6,2.7683144E7,29823376
27,6,4,2.7683144E7,29823376
27,4,7,2.8177286E7,29823376
27,7,4,2.8177286E7,29823376
27,4,8,2.0235256E7,29823376
27,8,4,2.0235256E7,29823376
27,4,9,2.826396E7,29823376
27,9,4,2.826396E7,29823376
27,4,10,2.5142276E7,29823376
27,10,4,2.5142276E7,29823376
27,5,6,2.6216692E7,29823376
27,6,5,2.6216692E7,29823376
27,5,7,2.1485752E7,29823376
27,7,5,2.1485752E7,29823376
27,5,8,2.2271432E7,29823376
27,8,5,2.2271432E7,29823376
27,5,9,2.7703804E7,29823376
27,9,5,2.7703804E7,29823376
27,5,10,2.481375E7,29823376
27,10,5,2.481375E7,29823376
27,6,7,2.6208514E7,29823376
27,7,6,2.6208514E7,29823376
27,6,8,2.80802E7,29823376
27,8,6,2.80802E7,29823376
27,6,9,2.274766E7,29823376
27,9,6,2.274766E7,29823376
27,6,10,2.6470598E7,29823376
27,10,6,2.6470598E7,29823376
27,7,8,2.4952908E7,29823376
27,8,7,2.4952908E7,29823376
